text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
"Terima kasih banyak bang, akhirnya setelah penantian panjang, yang crash lah, tunda lah. Lega banget akhirnya mainin, bahkan sampe 3 jam. Thank youu bang windah❤❤",terima kasih banyak bang akhirnya setelah penantian panjang yang crash lah tunda lah lega banget akhirnya mainin bahkan sampe jam thank youu bang windah,terima kasih banyak bang akhirnya setelah penantian panjang yang crash lah tunda lah lega banget akhirnya mainin bahkan sampe jam thank youu bang windah,terima kasih bang penantian crash tunda lega banget mainin sampe jam thank youu bang windah,terima kasih bang nanti crash tunda lega banget mainin sampe jam thank youu bang windah,"Thank you, bro, I'll crash, I'm really relieved to play until the clock, thank you, bro, Windah"
48:54 dilan basudara,dilan basudara,dilan basudara,dilan basudara,dil basudara,dil basudara
"THANK YOU BANG UDAH MAIN GAME INI DAN GAK PEDULIIN KOMENTAR EVIL ORANG-ORANG KEMARIN, RESPECT!",thank you bang udah main game ini dan gak peduliin komentar evil orangorang kemarin respect,thank you bang sudah main game ini dan gak peduliin komentar evil orangorang kemarin respect,thank you bang main game gak peduliin komentar evil orangorang kemarin respect,thank you bang main game gak peduliin komentar evil orangorang kemarin respect,"Thank you, bro, playing the game, don't care about the evil comments of yesterday's people. Respect"
"ubur ubur ikan lele, gamon lee 😢",ubur ubur ikan lele gamon lee,ubur ubur ikan lele gamon lee,ubur ubur ikan lele gamon lee,ubur ubur ikan lele gamon lee,Gamon Lee catfish jellyfish
Respect 🔥🔥🔥,respect,respect,respect,respect,respect
"respect to you, makasii bang windah udah main gamenya 💖💖💖",respect to you makasii bang windah udah main gamenya,respect to you makasii bang windah sudah main gamenya,respect to you makasii bang windah main gamenya,respect to you makasii bang windah main gamenya,"respect to you, thanks bro, Windah for playing the game"
there is nothing wrong with this game,there is nothing wrong with this game,there is nothing wrong with this game,there is nothing wrong with this game,there is nothing wrong with this game,there is nothing wrong with this game
BTW GUYS ADA YG TAU GA ID PLAYER BANG WINDAH??? AK MAW ADD FRIEND,btw guys ada yg tau ga id player bang windah ak maw add friend,by the way guys ada yang tau ga id player bang windah ak maw add friend,by the way guys tau ga id player bang windah ak maw add friend,by the way guys tau ga id player bang windah ak maw add friend,by the way guys do you know the player ID bro windah ak maw add friend
Thankyou bang Windah. Ga expect Windah sampe ngikutin story se interested itu. Makin sukses bang,thankyou bang windah ga expect windah sampe ngikutin story se interested itu makin sukses bang,thankyou bang windah ga expect windah sampe ngikutin story se interested itu makin sukses bang,thankyou bang windah ga expect windah sampe ngikutin story interested sukses bang,thankyou bang windah ga expect windah sampe ngikutin story interested sukses bang,"Thank you bro, Windah didn't expect Windah until following the story, interested in success, bro"
"thank you bang udah mainin gamenya , ingat ya guys penonton bang windah bukan hanya cowok!",thank you bang udah mainin gamenya ingat ya guys penonton bang windah bukan hanya cowok,thank you bang sudah mainin gamenya ingat ya guys penonton bang windah bukan hanya cowok,thank you bang mainin gamenya ya guys penonton bang windah cowok,thank you bang mainin gamenya ya guys tonton bang windah cowok,"Thank you, bro, play the game, guys, watch it, bro, Windah, boy"
"51:49 mirip bang, 11 12 sama zayne😊🎀",mirip bang sama zayne,mirip bang sama zayne,bang zayne,bang zayne,Zayne bro
THANK YOU SO MUCH BANG WINDAH❤,thank you so much bang windah,thank you so much bang windah,thank you so much bang windah,thank you so much bang windah,thank you so much bro windah
makasih udah main love and deepspace bang windah. seru banget bang. aku enjoy bgt nontonnya. btw battle-nya ga di main story doang bang. ada banyak bgt battle-nya dan pastinya lebih sulit dari yg di main story.,makasih udah main love and deepspace bang windah seru banget bang aku enjoy bgt nontonnya btw battlenya ga di main story doang bang ada banyak bgt battlenya dan pastinya lebih sulit dari yg di main story,makasih sudah main love and deepspace bang windah seru banget bang aku enjoy banget nontonnya by the way battlenya ga di main story doang bang ada banyak banget battlenya dan pastinya lebih sulit dari yang di main story,makasih main love and deepspace bang windah seru banget bang enjoy banget nontonnya by the way battlenya ga main story doang bang banget battlenya pastinya sulit main story,makasih main love and deepspace bang windah seru banget bang enjoy banget nontonnya by the way battlenya ga main story doang bang banget battlenya pasti sulit main story,"thank you for playing love and deepspace bro, windah, it's really fun, bro, really enjoyed watching it by the way, the battle doesn't play the story, bro, the battle is definitely difficult to play the story"
"windah sbg khodam  membuat hidup evelyn gud ending  (melindungi evelyn dari cowok2x , memilih cowok tepat, pake baju sesuai,)",windah sbg khodam membuat hidup evelyn gud ending melindungi evelyn dari cowokx memilih cowok tepat pake baju sesuai,windah sbg khodam membuat hidup evelyn gud ending melindungi evelyn dari cowokx memilih cowok tepat pake baju sesuai,windah sbg khodam hidup evelyn gud ending melindungi evelyn cowokx memilih cowok pake baju sesuai,windah sbg khodam hidup evelyn gud ending lindung evelyn cowokx pilih cowok pake baju sesuai,windah as khodam life evelyn gud ending protected evelyn blokx choose a guy wearing appropriate clothes
"TERIMAKASIH BANG WINDAH UDAH MAEN GIM INI, MESKIPUN SEBELUMNYA BYK HURU HARA ❤❤❤❤",terimakasih bang windah udah maen gim ini meskipun sebelumnya byk huru hara,terimakasih bang windah sudah maen gim ini meskipun sebelumnya byk huru hara,terimakasih bang windah maen gim byk huru hara,terimakasih bang windah maen gim byk huru hara,"Thank you, bro, Windah plays a lot of riot games"
"BANG WINDAHH TERIMA KASIH YAA KARENA SUDAH BERMAINN, aku seneng bgt bang windah review story, fitur, card, stories, dan characternya 🫂🫂
fyi, buat temen temen yg mungkin masih bingung, lads ini memang game story yg ceritanya deep bgt yaa makanya banyak yapping nya wkwk. jadi disarankan buat temen temen yg emg mau lanjutin story bisa main game nya secara langsung.
btw rafayel suamiku bang hehe, blio memang agak menyebalkan hehe
TERIMA KASIH BANG WINDAHHH, SUKSES TERUS YAHHH💪💪
btw awas yah klo ada yg comment negatif ntar ak marah😡",bang windahh terima kasih yaa karena sudah bermainn aku seneng bgt bang windah review story fitur card stories dan characternya fyi buat temen temen yg mungkin masih bingung lads ini memang game story yg ceritanya deep bgt yaa makanya banyak yapping nya wkwk jadi disarankan buat temen temen yg emg mau lanjutin story bisa main game nya secara langsung btw rafayel suamiku bang hehe blio memang agak menyebalkan hehe terima kasih bang windahhh sukses terus yahhh btw awas yah klo ada yg comment negatif ntar ak marah,bang windahh terima kasih yaa karena sudah bermainn aku seneng banget bang windah review story fitur card stories dan characternya fyi buat temen temen yang mungkin masih bingung lads ini memang game story yang ceritanya deep banget yaa makanya banyak yapping nya tertawa jadi disarankan buat temen temen yang emg mau lanjutin story bisa main game nya secara langsung by the way rafayel suamiku bang hehe blio memang agak menyebalkan hehe terima kasih bang windahhh sukses terus yahhh by the way awas yah klo ada yang comment negatif ntar ak marah,bang windahh terima kasih yaa bermainn seneng banget bang windah review story fitur card stories characternya fyi temen temen bingung lads game story ceritanya deep banget yaa yapping nya tertawa disarankan temen temen emg lanjutin story main game nya langsung by the way rafayel suamiku bang hehe blio menyebalkan hehe terima kasih bang windahhh sukses yahhh by the way awas yah klo comment negatif ntar ak marah,bang windahh terima kasih yaa bermainn neng banget bang windah review story fitur card stories characternya fyi temen temen bingung lads game story cerita deep banget yaa yapping nya tertawa saran temen temen emg lanjutin story main game nya langsung by the way rafayel suami bang hehe blio sebal hehe terima kasih bang windahhh sukses yahhh by the way awas yah klo comment negatif ntar ak marah,"Bro Windahh, thank you for playing really well, Bro Windah, review story, card stories features, characters, FYI, my friends are confused, lads, the game story, the story is really deep, yapping, it's a laugh, my friend's advice, continue the story, play the game straight away, by the way, Rafayel's husband, bro, hehe, I'm annoyed, hehe, thank you, bro, Windahhh, success, by the way, be careful, if you comment negatively, I'll be angry"
"si caleb mirip temen sekelas aku bang namanya bayu, dia bisa main karawitan bg",si caleb mirip temen sekelas aku bang namanya bayu dia bisa main karawitan bg,si caleb mirip temen sekelas aku bang namanya bayu dia bisa main karawitan bang,si caleb temen sekelas bang namanya bayu main karawitan bang,si caleb temen kelas bang nama bayu main karawitan bang,"Caleb's classmate, Bayu, plays musical instruments, bro"
Lebay,lebay,lebay,lebay,lebay,overacting
​ @hungaryhusar6567  bukan lebay tapi kenyataan,hungaryhusar bukan lebay tapi kenyataan,hungaryhusar bukan lebay tapi kenyataan,hungaryhusar lebay kenyataan,hungaryhusar lebay nyata,hungaryhusar is a real overkill
Aaahhh seneng banget ❤Makasih bang windah. udah mainin ini game❤,aaahhh seneng banget makasih bang windah udah mainin ini game,aaahhh seneng banget makasih bang windah sudah mainin ini game,aaahhh seneng banget makasih bang windah mainin game,aaahhh neng banget makasih bang windah mainin game,"aaahhh bro, thank you so much bro, Windah for playing the game"
MAKASIH BANYAK BANG WINDAH YG TAMPAN MENAWAN UDAH MAININ GAME INI🩷🩷🩷🩷🩷  ditunggu gameplay lanjutannya 🤩🤩,makasih banyak bang windah yg tampan menawan udah mainin game ini ditunggu gameplay lanjutannya,makasih banyak bang windah yang tampan menawan sudah mainin game ini ditunggu gameplay lanjutannya,makasih bang windah tampan menawan mainin game ditunggu gameplay lanjutannya,makasih bang windah tampan tawan mainin game tunggu gameplay lanjut,"Thank you bro, handsome handsome Tawan, playing the game, waiting for the gameplay to continue"
Thank you so much bang windahhhh❤❤❤❤❤,thank you so much bang windahhhh,thank you so much bang windahhhh,thank you so much bang windahhhh,thank you so much bang windahhhh,thank you so much bro windahhhh
"Game bagus tpi fandom nya ngatur nyuruh gk main😂,eh pas dimainin para nagih minta part 2,ketauan kan skrg sifat lo pada cewe bermuka dua dan standart ganda🤣",game bagus tpi fandom nya ngatur nyuruh gk maineh pas dimainin para nagih minta part ketauan kan skrg sifat lo pada cewe bermuka dua dan standart ganda,game bagus tpi fandom nya ngatur nyuruh gk maineh pas dimainin para nagih minta part ketauan kan skrg sifat lo pada cewe bermuka dua dan standart ganda,game bagus tpi fandom nya ngatur nyuruh gk maineh pas dimainin nagih part ketauan skrg sifat lo cewe bermuka standart ganda,game bagus tpi fandom nya ngatur nyuruh gk maineh pas dimainin nagih part tau skrg sifat lo cewe muka standart ganda,"good game but the fandom is controlling it so you don't play it when you play it, you're addicted to parts, you know now, your character is a double standard face girl"
HORORNYAA MANAAA😢😢😢😢,horornyaa manaaa,horornyaa manaaa,horornyaa manaaa,horornyaa manaaa,what a horror
Lanjutin bang please storynya smpe kebuka karakterny,lanjutin bang please storynya smpe kebuka karakterny,lanjutin bang please storynya smpe kebuka karakterny,lanjutin bang please storynya smpe kebuka karakterny,lanjutin bang please storynya smpe buka karakterny,Please continue with the story until the characters are revealed
"sylus emg tampangnya bad boy tp aslinya care bgt, smua love interest tuh green flag kok bang cuman kalo caleb masih abu abu soalnya dia baru rilis kemarinn. anyways makasih banyak ya bangg udah mainin, jangan lupa istirahat bang windah. 🤍🤍🤍",sylus emg tampangnya bad boy tp aslinya care bgt smua love interest tuh green flag kok bang cuman kalo caleb masih abu abu soalnya dia baru rilis kemarinn anyways makasih banyak ya bangg udah mainin jangan lupa istirahat bang windah,sylus emg tampangnya bad boy tp aslinya care banget smua love interest tuh green flag kok bang cuman kalo caleb masih abu abu soalnya dia baru rilis kemarinn anyways makasih banyak ya bangg sudah mainin jangan lupa istirahat bang windah,sylus emg tampangnya bad boy tp aslinya care banget smua love interest tuh green flag bang cuman kalo caleb abu abu rilis kemarinn anyways makasih ya bangg mainin lupa istirahat bang windah,sylus emg tampang bad boy tp asli care banget smua love interest tuh green flag bang cuman kalo caleb abu abu rilis kemarinn anyways makasih ya bangg mainin lupa istirahat bang windah,"Sylus really looks like a bad boy but he really cares about everyone, love the interests, Green Flag, bro, only if Caleb Abu Abu was released yesterday, anyways, thanks bro, I forgot to take a break, bro, Windah"
Thanks bang windah ❤,thanks bang windah,thanks bang windah,thanks bang windah,thanks bang windah,thanks bro windah
Menggiring,menggiring,menggiring,menggiring,giring,sleigh
Makasi dh mainin bg,makasi dh mainin bg,makasi dh mainin bang,makasi dh mainin bang,makas dh mainin bang,thanks for playing bro
"lucu banget terimakasih bang udah main ini game mwhehe seru banget mana ada adegan ngecrash nya seruu banget, terimakasih banyak ya❤❤",lucu banget terimakasih bang udah main ini game mwhehe seru banget mana ada adegan ngecrash nya seruu banget terimakasih banyak ya,lucu banget terimakasih bang sudah main ini game mwhehe seru banget mana ada adegan ngecrash nya seruu banget terimakasih banyak ya,lucu banget terimakasih bang main game mwhehe seru banget adegan ngecrash nya seruu banget terimakasih ya,lucu banget terimakasih bang main game mwhehe seru banget adegan ngecrash nya seruu banget terimakasih ya,"Very funny, thank you bro, playing the game, mwhehe, it's really fun, the crash scene is really exciting, thank you"
